scenario,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,10800-b,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,15000-b,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,Noaction,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2,fallx2
region,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass,Confluence,East Delta,Lower Sacramento River,Lower San Joaquin River,NE Suisun,NW Suisun,SE Suisun,SW Suisun,Sacramento River,South Delta,Suisun Marsh,Yolo Bypass
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-04,0.60,0.10,0.20,0.10,3.50,5.50,3.80,9.40,0.10,0.20,2.30,0.10,0.60,0.10,0.20,0.10,3.50,5.50,3.80,9.40,0.10,0.20,2.30,0.10,0.60,0.10,0.20,0.10,3.50,5.50,3.80,9.40,0.10,0.20,2.30,0.10,0.60,0.10,0.20,0.10,3.50,5.50,3.80,9.40,0.10,0.20,2.30,0.10,0.60,0.10,0.20,0.10,3.50,5.50,3.80,9.40,0.10,0.20,2.30,0.10,0.60,0.10,0.20,0.10,3.50,5.50,3.80,9.40,0.10,0.20,2.30,0.10,0.60,0.10,0.20,0.10,3.60,5.50,3.80,9.50,0.10,0.20,2.30,0.10,0.60,0.10,0.20,0.10,3.50,5.50,3.80,9.40,0.10,0.20,2.30,0.10,0.60,0.10,0.20,0.10,3.50,5.50,3.80,9.40,0.10,0.20,2.30,0.10
2016-05-05,0.60,0.10,0.10,0.10,3.30,5.20,3.60,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.30,5.20,3.60,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.30,5.20,3.60,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.40,5.30,3.60,9.20,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.40,5.30,3.60,9.20,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.40,5.30,3.60,9.20,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.40,5.30,3.60,9.20,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.30,5.20,3.60,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.30,5.20,3.60,9.10,0.10,0.20,2.30,0.20
2016-05-06,0.60,0.10,0.10,0.10,3.30,5.20,3.50,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.30,5.20,3.50,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.30,5.20,3.50,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.30,5.20,3.60,9.20,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.30,5.20,3.60,9.20,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.30,5.20,3.60,9.20,0.10,0.20,2.30,0.20,0.60,0.10,0.20,0.10,3.30,5.30,3.60,9.20,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.20,5.20,3.50,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.20,5.20,3.50,9.10,0.10,0.20,2.30,0.20
2016-05-07,0.60,0.10,0.10,0.10,3.20,5.10,3.50,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.20,5.10,3.50,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.20,5.10,3.50,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.20,0.10,3.20,5.20,3.50,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.20,0.10,3.20,5.20,3.50,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.20,0.10,3.20,5.20,3.50,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.20,0.10,3.30,5.20,3.60,9.20,0.10,0.20,2.40,0.20,0.60,0.10,0.10,0.10,3.20,5.10,3.50,9.00,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.20,5.10,3.50,9.00,0.10,0.20,2.30,0.20
2016-05-08,0.60,0.10,0.20,0.10,3.10,5.10,3.40,9.20,0.10,0.20,2.40,0.20,0.60,0.10,0.20,0.10,3.10,5.10,3.40,9.20,0.10,0.20,2.40,0.20,0.60,0.10,0.20,0.10,3.10,5.10,3.40,9.20,0.10,0.20,2.40,0.20,0.60,0.10,0.20,0.10,3.20,5.10,3.50,9.20,0.10,0.20,2.40,0.20,0.60,0.10,0.20,0.10,3.20,5.10,3.50,9.20,0.10,0.20,2.40,0.20,0.60,0.10,0.20,0.10,3.20,5.10,3.50,9.20,0.10,0.20,2.40,0.20,0.60,0.10,0.20,0.10,3.30,5.20,3.60,9.40,0.10,0.20,2.40,0.20,0.60,0.10,0.10,0.10,3.10,5.00,3.40,9.10,0.10,0.20,2.30,0.20,0.60,0.10,0.10,0.10,3.10,5.00,3.40,9.10,0.10,0.20,2.30,0.20
2016-05-09,0.50,0.10,0.10,0.10,3.00,4.90,3.30,8.90,0.10,0.20,2.40,0.20,0.50,0.10,0.10,0.10,3.00,4.90,3.30,8.90,0.10,0.20,2.40,0.20,0.50,0.10,0.10,0.10,3.00,4.90,3.30,8.90,0.10,0.20,2.40,0.20,0.60,0.10,0.20,0.10,3.00,5.00,3.40,9.00,0.10,0.20,2.40,0.20,0.60,0.10,0.20,0.10,3.00,5.00,3.40,9.00,0.10,0.20,2.40,0.20,0.60,0.10,0.20,0.10,3.00,5.00,3.40,9.00,0.10,0.20,2.40,0.20,0.60,0.10,0.20,0.10,3.10,5.10,3.50,9.10,0.10,0.20,2.40,0.20,0.50,0.10,0.10,0.10,2.90,4.90,3.20,8.80,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.90,4.90,3.20,8.80,0.10,0.20,2.30,0.20
2016-05-10,0.50,0.10,0.10,0.10,2.90,4.80,3.20,8.90,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.90,4.80,3.20,8.90,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.90,4.80,3.20,8.90,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,3.00,4.90,3.30,9.00,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,3.00,4.90,3.30,9.00,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,3.00,4.90,3.30,9.00,0.10,0.20,2.30,0.20,0.60,0.10,0.20,0.10,3.10,5.00,3.40,9.10,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.80,4.80,3.10,8.80,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.80,4.80,3.10,8.80,0.10,0.20,2.30,0.20
2016-05-11,0.50,0.10,0.10,0.10,2.80,4.70,3.00,8.80,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.80,4.70,3.00,8.80,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.80,4.70,3.00,8.80,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.90,4.80,3.10,8.90,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.90,4.80,3.10,8.90,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.90,4.80,3.10,8.90,0.10,0.20,2.30,0.20,0.50,0.10,0.20,0.10,3.00,4.90,3.20,9.10,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.70,4.60,3.00,8.70,0.10,0.20,2.30,0.20,0.50,0.10,0.10,0.10,2.70,4.60,3.00,8.70,0.10,0.20,2.30,0.20
