scenario,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-3-m,10800-60d,10800-60d,10800-60d,10800-60d,10800-60d,10800-b,10800-b,10800-b,10800-b,10800-b,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-3-m,15000-60d,15000-60d,15000-60d,15000-60d,15000-60d,15000-b,15000-b,15000-b,15000-b,15000-b,21000,21000,21000,21000,21000,Noaction,Noaction,Noaction,Noaction,Noaction,fallx2,fallx2,fallx2,fallx2,fallx2
region,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh,Cache Montezuma Link,Delta,North Delta Arc,Suisun Bay,Suisun Marsh
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23,7690.08,60798.19,35730.82,25713.62,7088.43,7690.08,60795.17,35727.79,25713.62,7088.46,7690.08,60799.66,35731.47,25713.62,7087.47,7690.08,60795.36,35730.15,25713.62,7089.70,7690.08,60765.61,35701.64,25713.62,7089.39,7690.08,60795.49,35730.53,25713.62,7090.02,7690.08,60774.13,35711.87,25713.62,7088.87,7690.08,60782.21,35714.61,25713.62,7088.15,7690.08,60800.08,35734.42,25713.62,7091.91
2024-04-24,7688.06,60677.88,35448.01,25695.37,6916.75,7688.06,60671.93,35449.88,25695.37,6923.64,7688.06,60672.94,35448.63,25695.37,6921.07,7688.06,60671.94,35446.70,25695.37,6919.57,7688.06,60629.21,35406.30,25695.37,6922.09,7688.06,60671.85,35449.79,25695.37,6922.54,7688.06,60663.62,35439.75,25695.37,6919.38,7688.06,60679.83,35457.86,25695.37,6924.82,7688.06,60683.31,35461.79,25695.37,6925.98
2024-04-25,7690.60,61167.22,35926.45,25709.49,6940.52,7690.60,61154.83,35917.80,25709.49,6944.14,7690.60,61162.45,35930.70,25709.49,6948.97,7690.60,61159.72,35917.83,25709.49,6937.95,7690.60,61112.72,35874.89,25709.49,6941.48,7690.60,61165.61,35927.59,25709.49,6941.15,7690.60,61152.84,35920.06,25709.49,6941.11,7690.60,61155.26,35920.55,25709.49,6946.71,7690.60,61159.39,35924.29,25709.49,6946.75
2024-04-26,7649.87,60416.31,34449.33,25613.27,6115.70,7649.87,60413.27,34457.56,25613.27,6127.58,7651.20,60414.64,34464.78,25613.27,6131.60,7649.87,60417.42,34458.82,25613.27,6121.65,7649.87,60363.23,34407.04,25613.27,6125.16,7650.80,60408.63,34460.13,25613.27,6131.79,7649.87,60410.81,34456.82,25613.27,6123.63,7651.20,60413.36,34460.39,25613.27,6132.83,7649.87,60419.77,34458.32,25613.27,6125.75
2024-04-27,7593.90,60170.83,33942.62,25599.90,5824.07,7593.90,60165.26,33949.84,25599.90,5833.84,7593.78,60166.96,33947.75,25599.90,5829.91,7592.87,60167.92,33953.09,25599.90,5830.64,7593.48,60116.91,33894.07,25599.90,5825.19,7593.48,60164.42,33951.77,25599.90,5834.84,7592.54,60149.68,33937.78,25599.90,5829.61,7593.48,60163.23,33946.30,25599.90,5834.76,7593.90,60180.55,33953.30,25599.90,5827.23
2024-04-28,7571.76,60005.29,33630.60,25550.90,5708.14,7571.76,59989.31,33624.47,25550.90,5714.39,7571.76,59988.07,33620.09,25550.90,5711.20,7571.76,59993.11,33623.31,25550.65,5707.64,7571.76,59956.49,33589.48,25550.65,5713.05,7571.76,59987.85,33626.86,25550.90,5713.97,7571.76,59980.84,33619.67,25550.65,5710.21,7571.76,59998.94,33631.49,25550.90,5716.33,7571.76,59997.15,33622.98,25550.90,5710.89
2024-04-29,7545.64,59166.55,32742.27,25453.15,5597.86,7545.64,59180.30,32764.82,25451.48,5603.74,7545.64,59173.18,32753.67,25451.48,5599.70,7545.64,59159.91,32743.71,25449.86,5598.45,7544.48,59132.76,32717.09,25448.22,5599.01,7544.48,59159.44,32749.73,25449.86,5603.63,7545.44,59148.03,32740.50,25444.99,5599.91,7545.64,59172.40,32753.60,25453.15,5603.35,7545.64,59174.29,32748.26,25454.76,5599.83
2024-04-30,7510.61,58663.54,32264.22,24975.24,5501.26,7510.61,58659.71,32268.41,24975.24,5507.60,7510.61,58658.33,32263.86,24974.35,5502.96,7510.33,58651.22,32258.26,24967.68,5502.47,7510.80,58594.18,32204.79,24967.68,5503.43,7510.80,58648.77,32263.90,24970.35,5508.96,7510.80,58640.75,32257.53,24957.74,5503.08,7510.61,58663.91,32265.93,24977.11,5503.70,7510.61,58671.38,32264.67,24977.11,5501.32
