Date,FishNumber,ForkLength,Weight,Bucket,FieldCage,FieldLocation
8/30/2023,1,42,0.53,1,5,Montezuma
8/30/2023,2,61,1.54,1,5,Montezuma
8/30/2023,3,48,1.06,2,7,Montezuma
8/30/2023,4,45,0.75,2,7,Montezuma
8/30/2023,5,57,1.93,3,7,Montezuma
8/30/2023,6,55,1.35,3,7,Montezuma
8/30/2023,7,57,1.55,4,8,Montezuma
8/30/2023,8,50,0.79,4,8,Montezuma
8/30/2023,9,47,0.78,5,5,Montezuma
8/30/2023,10,36,0.38,5,5,Montezuma
8/30/2023,11,53,1.1,6,8,Montezuma
8/30/2023,12,51,0.94,6,8,Montezuma
8/30/2023,13,41,0.58,7,6,Montezuma
8/30/2023,15,57,1.49,8,6,Montezuma
8/30/2023,16,48,0.98,8,6,Montezuma
8/31/2023,1,57,1.7,2,3,Rio Vista
8/31/2023,2,58,1.76,2,3,Rio Vista
8/31/2023,3,54,1.25,7,1,Rio Vista
8/31/2023,4,43,0.65,7,1,Rio Vista
8/31/2023,5,44,0.5,8,2,Rio Vista
8/31/2023,6,60,1.4,8,2,Rio Vista
8/31/2023,7,53,1.2,5,3,Rio Vista
8/31/2023,8,47,0.7,5,3,Rio Vista
8/31/2023,9,39,0.33,4,4,Rio Vista
8/31/2023,10,54,1.31,4,4,Rio Vista
8/31/2023,11,54,1.15,3,2,Rio Vista
8/31/2023,12,58,1.7,3,2,Rio Vista
8/31/2023,13,40,0.42,6,1,Rio Vista
8/31/2023,14,53,1.41,6,1,Rio Vista
8/31/2023,15,55,1.14,1,4,Rio Vista
8/31/2023,16,52,0.83,1,4,Rio Vista
