Year	Month	Day	2016	2017	2018	2019	2020
2016	6	1	73.74	54.88	72.56	56.7	77.55
2016	6	2	74.11	55.2	72.79	56.79	77.49
2016	6	3	74.48	55.47	73.09	56.85	77.49
2016	6	4	74.74	55.7	73.44	56.87	77.6
2016	6	5	75.03	55.9	73.78	56.87	77.75
2016	6	6	75.35	56.1	74.09	56.86	77.97
2016	6	7	75.65	56.29	74.37	56.86	78.09
2016	6	8	75.96	56.52	74.71	56.87	78.25
2016	6	9	76.23	56.78	75	56.9	78.42
2016	6	10	76.51	57.07	75.3	56.95	78.57
2016	6	11	76.81	57.38	75.62	57.02	78.71
2016	6	12	77.14	57.7	75.96	57.14	78.85
2016	6	13	77.41	58.06	76.26	57.37	78.95
2016	6	14	77.55	58.43	76.57	57.68	79.04
2016	6	15	77.69	58.82	76.91	58.03	79.13
2016	6	16	77.82	59.25	77.28	58.42	79.16
2016	6	17	78.02	59.7	77.62	58.81	79.24
2016	6	18	78.17	60.16	77.88	59.16	79.38
2016	6	19	78.31	60.61	77.99	59.53	79.5
2016	6	20	78.37	61.06	78.08	59.92	79.61
2016	6	21	78.44	61.49	78.17	60.35	79.72
2016	6	22	78.58	61.91	78.28	60.82	79.84
2016	6	23	78.71	62.3	78.34	61.29	79.93
2016	6	24	78.85	62.67	78.44	61.76	79.99
2016	6	25	79.02	63.02	78.51	62.26	80.08
2016	6	26	79.14	63.35	78.66	62.79	80.17
2016	6	27	79.24	63.63	78.82	63.37	80.25
2016	6	28	79.35	63.9	78.94	63.78	80.29
2016	6	29	79.33	64.16	79.03	64.23	80.28
2016	6	30	79.29	64.46	79.2	64.7	80.41
2016	7	31	79.43	64.8	79.51	65.37	80.77
2016	7	32	79.6	65.18	79.76	65.93	80.97
2016	7	33	79.64	65.62	79.99	66.5	81.1
2016	7	34	79.73	66.08	80.21	67.05	81.36
2016	7	35	79.79	66.56	80.38	67.59	81.63
2016	7	36	79.85	66.79	80.51	68.15	81.73
2016	7	37	79.94	66.98	80.62	68.73	81.79
2016	7	38	80.03	67.3	80.71	69.26	81.99
2016	7	39	80.12	67.9	80.75	69.82	82.2
2016	7	40	80.19	68.5	80.76	70.32	82.39
2016	7	41	80.2	69.07	80.72	70.79	82.57
2016	7	42	80.22	69.7	80.62	71.25	82.73
2016	7	43	80.32	70.32	80.55	71.72	82.88
2016	7	44	80.41	70.91	80.56	72.21	83.02
2016	7	45	80.52	71.41	80.55	72.7	83.18
2016	7	46	80.32	71.83	80.5	73.18	83.28
2016	7	47	80.11	72.28	80.47	73.61	83.41
2016	7	48	79.71	72.75	80.44	74.06	83.62
2016	7	49	79.32	73.19	80.48	74.49	83.82
2016	7	50	79	73.63	80.52	74.9	83.95
2016	7	51	78.81	74.03	80.56	75.28	84.12
2016	7	52	78.77	74.38	80.62	75.63	84.35
2016	7	53	78.72	74.62	80.65	75.96	84.45
2016	7	54	78.66	74.82	80.71	76.22	84.64
2016	7	55	78.62	74.99	80.77	76.47	84.75
2016	7	56	78.64	75.18	80.77	76.71	84.96
2016	7	57	78.65	75.36	80.75	77	84.97
2016	7	58	78.68	75.52	80.72	77.27	84.96
2016	7	59	78.69	75.64	80.72	77.52	84.96
2016	7	60	78.7	75.74	80.73	77.72	85.08
2016	7	61	78.73	75.89	80.87	77.86	85.33
2016	8	62	78.8	76.06	80.92	77.96	85.63
2016	8	63	78.88	76.22	80.86	78.04	85.87
2016	8	64	78.96	76.36	80.9	78.12	85.97
2016	8	65	79.05	76.49	80.94	78.23	86.02
2016	8	66	79.1	76.62	80.91	78.27	86.25
2016	8	67	79.1	76.7	80.87	78.13	86.5
2016	8	68	79.1	76.73	80.95	77.95	86.72
2016	8	69	78.98	76.77	81.04	77.67	86.96
2016	8	70	78.97	76.81	81.09	77.32	87.11
