Season,Year2,OUT,X2,CVP,SWP,Index,Yr-type,Action
Fall,2011,10864.30769,76.24384615,3864.67033,5741.571429,10.54,W,FallX2
Fall,2012,5210.318681,86.06758242,4006.846154,3883.21978,6.89,BN,NA
Fall,2013,5134.846154,85.12428571,2437.296703,2149.032967,5.83,D,NA
Fall,2014,4454.747253,87.38681319,968.989011,1492.714286,4.07,C,NA
Fall,2015,4777.021978,85.91703297,1304.901099,556.2637363,4,C,NA
Fall,2016,7162.912088,82.89791209,3440.32967,4402.505495,6.71,BN,NA
Fall,2017,10429.13187,76.05549451,3840.604396,3718.263736,14.14,W,FallX2
Fall,2018,6311.648352,83.82197802,3553.285714,3645.450549,7.14,BN,Gates
Fall,2019,10855.02198,75.34483516,2298.197802,3361.362637,10.34,W,FallX2
Fall,2020,4552.758242,86.7056044,2868.934066,1125.318681,6.13,D,NA
Fall,2021,6627.791209,87.0267033,2320.362637,1269.527473,3.86,C,NA
Fall,2022,4191.417582,87.85527473,1593.483516,662.4505495,4.5,C,NA
Fall,2023,9210.066667,79.00266667,3926.9,4467.633333,9.35,W,FallX2+Gates
Spring,2011,78677.28261,55.19206522,2311.804348,2994.73913,10.54,W,FallX2
Spring,2012,20046.54348,70.59097826,1440.065217,1507.173913,6.89,BN,NA
Spring,2013,10831.61957,75.44793478,1328.728261,1624.097826,5.83,D,NA
Spring,2014,8273.967391,80.05673913,2077.48913,1005.021739,4.07,C,NA
Spring,2015,6232.336957,81.10782609,988.9347826,787.1086957,4,C,NA
Spring,2016,32350.86957,66.43402174,1731.967391,1462.445652,6.71,BN,NA
Spring,2017,98739.67391,47.66695652,3342.858696,2150.391304,14.14,W,FallX2
Spring,2018,27439.77174,67.89391304,2107.23913,2128.445652,7.14,BN,Gates
Spring,2019,85507.54348,52.1025,1736.228261,2689.141304,10.34,W,FallX2
Spring,2020,10242.06522,76.3501087,1829.728261,1062.086957,6.13,D,NA
Spring,2021,6742.956522,80.7125,741.2282609,404.3804348,3.86,C,NA
Spring,2022,7087.5,79.69782609,998.4021739,559.75,4.5,C,NA
Spring,2023,74352.46739,56.12836957,3305.847826,5055.869565,9.35,W,FallX2+Gates
Summer,2011,22643.03261,66.65597826,3984.065217,6874.01087,10.54,W,FallX2
Summer,2012,6811.228261,79.90771739,3553.369565,4541.706522,6.89,BN,NA
Summer,2013,6123.967391,81.16130435,2774.173913,4372.347826,5.83,D,NA
Summer,2014,4291.217391,86.27967391,469.0217391,1164.967391,4.07,C,NA
Summer,2015,4675.402174,84.97380435,398.9782609,469.9673913,4,C,NA
Summer,2016,7166.684783,79.05380435,1561.98913,5417.402174,6.71,BN,NA
Summer,2017,15871.09783,69.12478261,4327.358696,6801.163043,14.14,W,FallX2
Summer,2018,6568.336957,79.7151087,3619.391304,2778.641304,7.14,BN,Gates
Summer,2019,17260.36957,69.53086957,4024.380435,5852.880435,10.34,W,FallX2
Summer,2020,4987.358696,83.34467391,3584.619565,1807.858696,6.13,D,NA
Summer,2021,3405.271739,88.70543478,759.6304348,300.7717391,3.86,C,NA
Summer,2022,4500.25,85.49913043,2026.967391,509.0326087,4.5,C,NA
Summer,2023,15074.45652,71.54413043,3919.086957,5810.652174,9.35,W,FallX2+Gates
Winter,2011,34148.76271,62.90186441,3557.728814,6352.610169,10.54,W,FallX2
Winter,2012,9160.461538,79.48714286,2740.901099,3595.32967,6.89,BN,NA
Winter,2013,28475.07778,68.63388889,2388.333333,2910.411111,5.83,D,NA
Winter,2014,6793.211111,83.59955556,892.1222222,1327.444444,4.07,C,NA
Winter,2015,18683.53333,75.307,1508.044444,4028.155556,4,C,NA
Winter,2016,18251.82418,75.53879121,2105.274725,1869.241758,6.71,BN,NA
Winter,2017,145452.3,58.93444444,3757.455556,6629.355556,14.14,W,FallX2
Winter,2018,11808.82222,76.56744444,3121.088889,3144.244444,7.14,BN,Gates
Winter,2019,40088.05556,70.87833333,3764.877778,3501.877778,10.34,W,FallX2
Winter,2020,13092.92308,74.98879121,3166.626374,3676.417582,6.13,D,NA
Winter,2021,8433.622222,81.37522222,1326.777778,1860.944444,3.86,C,NA
Winter,2022,14564.85556,76.984,2357.2,1173.466667,4.5,C,NA
Winter,2023,39817.03333,70.55377778,2934.766667,3819.877778,9.35,W,FallX2+Gates
,2024,,,,,,AN,FallX2+Gates
,2010,,,,,,BN,NA
