time,region,min,max,mean
2024-05-14 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-05-14 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-14 16:30:00,East Delta,0.0,0.1,0.1
2024-05-14 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-14 16:30:00,South Delta,0.1,0.4,0.1
2024-05-14 16:30:00,Suisun Marsh,0.1,1.1,0.6
2024-05-14 16:30:00,Confluence,0.1,0.1,0.1
2024-05-14 16:30:00,Lower San Joaquin River,0.1,0.2,0.1
2024-05-14 16:30:00,SW Suisun,0.7,6.4,3.8
2024-05-14 16:30:00,SE Suisun,0.1,2.0,0.4
2024-05-14 16:30:00,NE Suisun,0.1,1.0,0.3
2024-05-14 16:30:00,NW Suisun,0.1,5.2,0.9
2024-05-15 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-15 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-15 16:30:00,East Delta,0.0,0.1,0.1
2024-05-15 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-15 16:30:00,South Delta,0.0,0.5,0.1
2024-05-15 16:30:00,Suisun Marsh,0.1,1.3,0.6
2024-05-15 16:30:00,Confluence,0.1,0.1,0.1
2024-05-15 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-15 16:30:00,SW Suisun,1.3,5.9,3.6
2024-05-15 16:30:00,SE Suisun,0.1,1.5,0.5
2024-05-15 16:30:00,NE Suisun,0.2,1.3,0.5
2024-05-15 16:30:00,NW Suisun,0.1,4.5,1.2
2024-05-16 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-16 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-16 16:30:00,East Delta,0.0,0.1,0.1
2024-05-16 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-16 16:30:00,South Delta,0.0,0.5,0.1
2024-05-16 16:30:00,Suisun Marsh,0.1,1.8,0.7
2024-05-16 16:30:00,Confluence,0.1,0.1,0.1
2024-05-16 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-16 16:30:00,SW Suisun,1.0,5.1,2.9
2024-05-16 16:30:00,SE Suisun,0.1,1.3,0.4
2024-05-16 16:30:00,NE Suisun,0.2,1.2,0.5
2024-05-16 16:30:00,NW Suisun,0.2,3.5,1.3
2024-05-17 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-17 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-17 16:30:00,East Delta,0.0,0.1,0.1
2024-05-17 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-17 16:30:00,South Delta,0.0,0.6,0.1
2024-05-17 16:30:00,Suisun Marsh,0.1,1.6,0.7
2024-05-17 16:30:00,Confluence,0.1,0.1,0.1
2024-05-17 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-17 16:30:00,SW Suisun,1.3,5.6,3.4
2024-05-17 16:30:00,SE Suisun,0.1,1.6,0.4
2024-05-17 16:30:00,NE Suisun,0.2,1.4,0.5
2024-05-17 16:30:00,NW Suisun,0.1,3.9,1.4
2024-05-18 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-18 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-18 16:30:00,East Delta,0.0,0.1,0.1
2024-05-18 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-18 16:30:00,South Delta,0.0,0.7,0.1
2024-05-18 16:30:00,Suisun Marsh,0.1,1.5,0.7
2024-05-18 16:30:00,Confluence,0.1,0.1,0.1
2024-05-18 16:30:00,Lower San Joaquin River,0.1,0.1,0.1
2024-05-18 16:30:00,SW Suisun,1.2,5.3,3.3
2024-05-18 16:30:00,SE Suisun,0.1,1.7,0.4
2024-05-18 16:30:00,NE Suisun,0.2,1.4,0.4
2024-05-18 16:30:00,NW Suisun,0.1,3.6,1.3
2024-05-19 16:30:00,Yolo Bypass,0.0,0.3,0.1
2024-05-19 16:30:00,Sacramento River,0.0,0.1,0.1
2024-05-19 16:30:00,East Delta,0.0,0.1,0.1
2024-05-19 16:30:00,Lower Sacramento River,0.1,0.1,0.1
2024-05-19 16:30:00,South Delta,0.0,0.8,0.1
