station,region,group,Latitude,Longitude
BDL,Marsh,WQA,38.1869,-121.9708
CSE,River,WQA,38.074,-121.8501
GOD,Marsh,WQA,38.1238,-122.0812
GZB,Bay,WQA,38.123145,-122.007582
GZL,Bay,CEMP,38.12425,-122.038117
GZM,Bay,WQA,38.141304,-122.060196
HUN,Marsh,WQA,38.156,-122.0527
MAL,River,CEMP,38.042805,-121.92009
MSL,Marsh,WQA,38.0934,-121.8872
NSL,Marsh,WQA,38.1221,-121.8881
RYC,Bay,CEMP,38.083971,-121.995878
TRB,Bay,FRP,,
VOL,Marsh,WQA,38.181,-122.046
HON,Bay,CEMP,38.0724,-121.9392
SSI,River,CEMP,38.074097,-121.761736
RVB,River,CEMP,38.159737,-121.686355
ANH,,,38.01783,-121.80296
MRZ,,,38.02764,-122.14049
EMM,,,38.08427,-121.73892
SDI,,,38.0934,-121.736
PCT,,,38.05679,-121.99997
