Lifestage,Taxname,IBMR,Taxlifestage
Adult,Acanthocyclops,othcyc,Acanthocyclops Adult
Adult,Acanthocyclops vernalis,othcyc,Acanthocyclops vernalis Adult
Juvenile,Acanthocyclops vernalis,othcyc,Acanthocyclops vernalis Juvenile
Adult,Acartia,othcalad,Acartia Adult
Juvenile,Acartia,othcaljuv,Acartia Juvenile
Juvenile,Acartia,othcaljuv,Acartia Juvenile
Juvenile,Acartiella,othcaljuv,Acartiella Juvenile
Adult,Acartiella sinensis,acartela,Acartiella sinensis Adult
Juvenile,Acartiella sinensis,othcaljuv,Acartiella sinensis Juvenile
Juvenile,Acartiella sinensis,othcaljuv,Acartiella sinensis Juvenile
Adult,Actinopterygii,other,Actinopterygii Adult
Larva,Actinopterygii,other,Actinopterygii Larva
Undifferentiated,Actinopterygii,other,Actinopterygii Undifferentiated
Undifferentiated,Aequorea,other,Aequorea Undifferentiated
Larva,Aeshnidae,other,Aeshnidae Larva
Adult,Alienacanthomysis macropsis,mysid,Alienacanthomysis macropsis Adult
Undifferentiated,Alona,othclad,Alona Undifferentiated
Undifferentiated,Alonella,othclad,Alonella Undifferentiated
Undifferentiated,Americophium,other,Americophium Undifferentiated
Adult,Americorophium spinicorne,other,Americorophium spinicorne Adult
Adult,Americorophium stimpsoni,other,Americorophium stimpsoni Adult
Adult,Ampelisca abdita,other,Ampelisca abdita Adult
Adult,Amphipoda,other,Amphipoda Adult
Juvenile,Amphipoda,other,Amphipoda Juvenile
Juvenile,Amphipoda,other,Amphipoda Juvenile
Adult,Ampithoe,other,Ampithoe Adult
Undifferentiated,Anchistropus,NA,Anchistropus Undifferentiated
Undifferentiated,Animal material UNID,other,Animal material UNID Undifferentiated
Adult,Annelida,other,Annelida Adult
Adult,Annelida,other,Annelida Adult
Undifferentiated,Annelida,other,Annelida Undifferentiated
Adult,Aphididae,other,Aphididae Adult
Larva,Aphididae,other,Aphididae Larva
Adult,Araneae,other,Araneae Adult
Adult,Arctodiaptomus dorsalis,othcalad,Arctodiaptomus dorsalis Adult
Larva,Arthropoda,other,Arthropoda Larva
Adult,Asellidae,other,Asellidae Adult
Adult,Asplanchna,other,Asplanchna Adult
Undifferentiated,Aurelia,other,Aurelia Undifferentiated
Larva,Baetidae,other,Baetidae Larva
Adult,Belostomatidae,other,Belostomatidae Adult
Adult,Bivalvia,other,Bivalvia Adult
Adult,Bivalvia,other,Bivalvia Adult
Juvenile,Bivalvia,other,Bivalvia Juvenile
Juvenile,Bivalvia,other,Bivalvia Juvenile
Undifferentiated,Bivalvia,other,Bivalvia Undifferentiated
Adult,Bosmina longirostris,othclad,Bosmina longirostris Adult
Adult,Branchionus,other,Branchionus Adult
Adult,Caecidotea,other,Caecidotea Adult
Larva,Caenidae,other,Caenidae Larva
Adult,Calanoida,othcalad,Calanoida Adult
Adult,Calanoida,othcalad,Calanoida Adult
Adult,Calanoida,othcalad,Calanoida Adult
Juvenile,Calanoida,othcaljuv,Calanoida Juvenile
Juvenile,Calanoida,othcaljuv,Calanoida Juvenile
Undifferentiated,Camptocercus,NA,Camptocercus Undifferentiated
Adult,Caprellidae,other,Caprellidae Adult
Larva,Carabidae,other,Carabidae Larva
Larva,Ceratopogonidae,other,Ceratopogonidae Larva
Adult,Ceriodaphnia,othclad,Ceriodaphnia Adult
Undifferentiated,Ceriodaphnia,othclad,Ceriodaphnia Undifferentiated
Larva,Chironomidae,other,Chironomidae Larva
Egg,Chordata,other,Chordata Egg
Adult,Chrysomelidae,other,Chrysomelidae Adult
Adult,Chydorus,othclad,Chydorus Adult
Undifferentiated,Chydorus,othclad,Chydorus Undifferentiated
Adult,Cicadellidae,other,Cicadellidae Adult
Juvenile,Cicadellidae,other,Cicadellidae Juvenile
Larva,Cirripedia,other,Cirripedia Larva
Adult,Cladocera,othclad,Cladocera Adult
Adult,Cladocera,othclad,Cladocera Adult
Larva,Cladocera,othclad,Cladocera Larva
Undifferentiated,Cladocera,othclad,Cladocera Undifferentiated
Undifferentiated,Cnidaria,other,Cnidaria Undifferentiated
Undifferentiated,Cnidaria,other,Cnidaria Undifferentiated
Adult,Coccinellidae,other,Coccinellidae Adult
Larva,Coccinellidae,other,Coccinellidae Larva
Larva,Coenagrionidae,other,Coenagrionidae Larva
Adult,Coleoptera,other,Coleoptera Adult
Larva,Coleoptera,other,Coleoptera Larva
Undifferentiated,Collembola,NA,Collembola Undifferentiated
Adult,Copepoda,othcalad,Copepoda Adult
Adult,Copepoda,othcalad,Copepoda Adult
Undifferentiated,Copepoda,othcalad,Copepoda Undifferentiated
Larva,Copepoda,othcaljuv,Copepoda Larva
Larva,Copepoda,othcaljuv,Copepoda Larva
Adult,Corbicula fluminea,other,Corbicula fluminea Adult
Adult,Corixidae,other,Corixidae Adult
Adult,Corophiidae,other,Corophiidae Adult
Juvenile,Corophiidae,other,Corophiidae Juvenile
Undifferentiated,Corophium,other,Corophium Undifferentiated
Adult,Crangon,other,Crangon Adult
Adult,Crangonyx,other,Crangonyx Adult
Larva,Culicidae,other,Culicidae Larva
Adult,Cumacea,other,Cumacea Adult
Adult,Curculionidae,other,Curculionidae Adult
Adult,Curculionidae,other,Curculionidae Adult
Larva,Curculionidae,other,Curculionidae Larva
Adult,Cyclopoida,othcyc,Cyclopoida Adult
Adult,Cyclopoida,othcyc,Cyclopoida Adult
Adult,Cyclopoida,othcyc,Cyclopoida Adult
Juvenile,Cyclopoida,othcyc,Cyclopoida Juvenile
Juvenile,Cyclopoida,othcyc,Cyclopoida Juvenile
Undifferentiated,Cyclopoida,othcyc,Cyclopoida Undifferentiated
Adult,Daphnia,daphnia,Daphnia Adult
Juvenile,Daphnia,daphnia,Daphnia Juvenile
Undifferentiated,Daphnia,daphnia,Daphnia Undifferentiated
Adult,Decapoda,other,Decapoda Adult
Juvenile,Decapoda,other,Decapoda Juvenile
Larva,Decapoda,other,Decapoda Larva
Larva,Decapoda,other,Decapoda Larva
Undifferentiated,Decapoda,other,Decapoda Undifferentiated
Adult,Deltamysis holmquistae,mysid,Deltamysis holmquistae Adult
Adult,Dermaptera,other,Dermaptera Adult
Adult,Diacyclops,othcyc,Diacyclops Adult
Adult,Diacyclops thomasi,othcyc,Diacyclops thomasi Adult
Adult,Diaphanosoma,othclad,Diaphanosoma Adult
Undifferentiated,Diaphanosoma,othclad,Diaphanosoma Undifferentiated
Adult,Diaptomidae,othcalad,Diaptomidae Adult
Juvenile,Diaptomidae,othcaljuv,Diaptomidae Juvenile
Adult,Diaptomus,othcalad,Diaptomus Adult
Juvenile,Diaptomus,othcaljuv,Diaptomus Juvenile
Adult,Diaptomus dorsalis,othcalad,Diaptomus dorsalis Adult
Adult,Diaptomus siciloides,othcalad,Diaptomus siciloides Adult
Adult,Diptera,other,Diptera Adult
Larva,Diptera,other,Diptera Larva
Larva,Diptera,other,Diptera Larva
Larva,Diptera,other,Diptera Larva
Pupa,Diptera,other,Diptera Pupa
Pupa,Diptera,other,Diptera Pupa
Pupa,Diptera,other,Diptera Pupa
Pupa,Diptera,other,Diptera Pupa
Undifferentiated,Disparalona,othclad,Disparalona Undifferentiated
Larva,Dolichopodidae,other,Dolichopodidae Larva
Adult,Dytiscidae,other,Dytiscidae Adult
Larva,Dytiscidae,other,Dytiscidae Larva
Egg,Egg,other,Egg Egg
Adult,Elmidae,other,Elmidae Adult
Larva,Elmidae,other,Elmidae Larva
Adult,Eogammarus,other,Eogammarus Adult
Adult,Ephemeroptera,other,Ephemeroptera Adult
Larva,Ephemeroptera,other,Ephemeroptera Larva
Larva,Ephemeroptera,other,Ephemeroptera Larva
Larva,Ephydridae,other,Ephydridae Larva
Adult,Ergasilus,othcyc,Ergasilus Adult
Juvenile,Ergasilus,othcyc,Ergasilus Juvenile
Adult,Eucyclops,othcyc,Eucyclops Adult
Adult,Eucyclops agilis,othcyc,Eucyclops agilis Adult
Adult,Eucyclops elegans,othcyc,Eucyclops elegans Adult
Adult,Eucyclops pectinifer,othcyc,Eucyclops pectinifer Adult
Adult,Eucyclops prionophorus,othcyc,Eucyclops prionophorus Adult
Undifferentiated,Eurycercus,othclad,Eurycercus Undifferentiated
Larva,Eurytemora,allcopnaup,Eurytemora Larva
Adult,Eurytemora,eurytem,Eurytemora Adult
Larva,Eurytemora affinis,allcopnaup,Eurytemora affinis Larva
Adult,Eurytemora affinis,eurytem,Eurytemora affinis Adult
Undifferentiated,Eurytemora affinis,othcalad,Eurytemora affinis Undifferentiated
Juvenile,Eurytemora affinis,euryjuv,Eurytemora affinis Juvenile
Larva,Eurytemora carolleeae,allcopnaup,Eurytemora carolleeae Larva
Adult,Eurytemora carolleeae,eurytem,Eurytemora carolleeae Adult
Juvenile,Eurytemora carolleeae,euryjuv,Eurytemora carolleeae Juvenile
Adult,Exopalaemon modestus,other,Exopalaemon modestus Adult
Adult,Ferrissia californica,other,Ferrissia californica Adult
Adult,Fluminicola,other,Fluminicola Adult
Adult,Formicidae,other,Formicidae Adult
Adult,Galba,other,Galba Adult
Juvenile,Gammaridae,other,Gammaridae Juvenile
Adult,Gammarus,other,Gammarus Adult
Undifferentiated,Gammarus,other,Gammarus Undifferentiated
Adult,Gammarus daiberi,other,Gammarus daiberi Adult
Adult,Gastropoda,other,Gastropoda Adult
Adult,Gastropoda,other,Gastropoda Adult
Adult,Gastropoda,other,Gastropoda Adult
Juvenile,Gastropoda,other,Gastropoda Juvenile
Adult,Gerridae,other,Gerridae Adult
Undifferentiated,Girardia tigrina,other,Girardia tigrina Undifferentiated
Adult,Gnorimosphaeroma insulare,other,Gnorimosphaeroma insulare Adult
Larva,Gomphidae,other,Gomphidae Larva
Adult,Grandidierella,other,Grandidierella Adult
Adult,Grandidierella japonica,other,Grandidierella japonica Adult
Undifferentiated,Graptoleberis,othclad,Graptoleberis Undifferentiated
Adult,Gyraulus,other,Gyraulus Adult
Larva,Gyrinidae,other,Gyrinidae Larva
Adult,Halicyclops,othcyc,Halicyclops Adult
Larva,Haliplidae,other,Haliplidae Larva
