"","Scenario","Day","Year","L95","U95","growth","growth2","Weight","Weight2"
"1","10800-3-m",151,"2016",0.586837495379371,0.922092802109921,0.00425730787558893,0.00559645437190388,0.422912841138324,0.740972872970362
"2","10800-3-m",151,"2024",0.640662874213116,1.00084550099687,0.00434043946583586,0.00585731284550144,0.464593668468979,0.809204369671557
"3","10800-60d",151,"2016",0.537207707603999,0.848521510741681,0.00431632490043635,0.00537061618116622,0.377981174374629,0.680407914636735
"4","10800-60d",151,"2024",0.615205890131305,0.964551753462177,0.00424162645764688,0.00560204791627395,0.442737742423901,0.777910170662093
"5","10800-b",151,"2016",0.594891523251516,0.937728905419019,0.00379221486142472,0.00466463885658139,0.434078909674033,0.750111078468116
"6","10800-b",151,"2024",0.64735824271326,1.00835794601914,0.0037429860520423,0.00478729598542631,0.477879084348259,0.814528069230662
"7","15000-3-m",151,"2016",0.716790965340211,1.10581125189297,0.00352536335129079,0.00471610188247088,0.537416267223602,0.895805382041087
"8","15000-3-m",151,"2024",0.783221679623103,1.21229101682254,0.00354609370150285,0.00488097004751851,0.599376398669404,0.973199775823764
"9","15000-60d",151,"2016",0.616981766990414,0.96165200219566,0.00423132306950709,0.00548524171707903,0.452031330063238,0.775506008094884
"10","15000-60d",151,"2024",0.690862226554117,1.07098268017347,0.0041344616732391,0.00566072771908684,0.523414654335668,0.867337980637235
"11","15000-b",151,"2016",0.606510861916309,0.946899243457772,0.00424648685020137,0.0054705314007701,0.442312086200684,0.763111510422074
"12","15000-b",151,"2024",0.665157120288509,1.03285954669109,0.00417614331883885,0.00556953669731008,0.500311800606214,0.836739419840297
"13","21000",151,"2016",0.880946639788488,1.37430368758307,0.00335354120232978,0.00495689231003602,0.72203239245298,1.09702941762894
"14","21000",151,"2024",0.968541106399412,1.51040382553732,0.00334673081866897,0.00501064800785795,0.822968798733785,1.19980816418798
"15","Noaction",151,"2016",0.48875758195424,0.779678423702881,0.00439963089832231,0.00521811250461849,0.334871770800049,0.623006258701021
"16","Noaction",151,"2024",0.53723804349884,0.856214732847588,0.00437288294948057,0.00536677266621249,0.371713436508557,0.684189451146435
"17","fallx2",151,"2016",0.491497926883294,0.790000396546278,0.00463412570935473,0.00433123157823579,0.352003490642377,0.625136755507918
"18","fallx2",151,"2024",0.55220563820437,0.884487344178864,0.00518734901618633,0.00545760007762194,0.40851888674205,0.697886803775322
