"","Year","Scenario","Growth","Growth2","total","total2"
"1","2016","10800-3-m",0.0215858177468042,0.0125194007800276,1.7517679908922,1.96023906668881
"2","2016","10800-60d",0.0215770682430194,0.0123773644654633,1.74952462963351,1.9387915831896
"3","2016","10800-b",0.0215416574825136,0.0125022331980942,1.7402590039044,1.95764676181686
"4","2016","15000-3-m",0.0218858851609676,0.0131138746008983,1.83032235749213,2.05000178786819
"5","2016","15000-60d",0.0218010100905993,0.0128047720507948,1.80748895297704,2.00332730280256
"6","2016","15000-b",0.021773719604321,0.0127540318183376,1.80025230418083,1.99566552770153
"7","2016","21000",0.0222822469418995,0.0138732799696084,1.93940732542801,2.16465948688877
"8","2016","Noaction",0.0214225106300749,0.0121040345520255,1.71052172270306,1.89752067096671
"9","2016","fallx2",0.0213306340478813,0.0120353674107991,1.68725085573513,1.88715193264153
"10","2024","10800-3-m",0.0217278431307561,0.0127786996604444,1.82176036732233,2.01193071243589
"11","2024","10800-60d",0.0217100211431099,0.0127209556493077,1.81687674499152,2.00315362274312
"12","2024","10800-b",0.0216521626922719,0.0127964038758406,1.80111926282424,2.01462175317612
"13","2024","15000-3-m",0.0220755072038171,0.013407069877156,1.91751748207076,2.10744021891728
"14","2024","15000-60d",0.021969266330094,0.0131035300714144,1.8874285081033,2.06130216844455
"15","2024","15000-b",0.021945740788063,0.0129988096396073,1.88086460978002,2.04538466280988
"16","2024","21000",0.0224879502142918,0.0140629909905282,2.03791584540206,2.20713880534098
"17","2024","Noaction",0.0215752916274327,0.0124717887999648,1.78127695691927,1.96528079361271
"18","2024","fallx2",0.0213866615713113,0.0124183317372357,1.73154314886635,1.95715532007788
