"","BigRegion","Scenario","Year","MeanBiomass","MeanU95","MeanL95"
"1","Confluence","Noaction","2016",3939.78174981689,5851.69921962782,2723.2335364164
"2","Confluence","Noaction","2024",4565.66435184733,6825.3690898273,3148.58901231672
"3","Confluence","fallx2","2016",5401.08359966175,8090.53242375933,3709.88953206862
"4","Confluence","fallx2","2024",8050.63281354023,12299.4363152227,5446.36280789917
"5","Confluence","10800-3-m","2016",8402.35397749581,12954.5196024019,5641.14247035321
"6","Confluence","10800-3-m","2024",9226.1636108254,14264.2094788561,6173.60884538145
"7","Confluence","10800-60d","2016",5660.14380022888,8505.16049649312,3875.58502812361
"8","Confluence","10800-60d","2024",7715.18638814641,11772.590258853,5219.38369665881
"9","Confluence","10800-b","2016",9775.20427509509,15188.4923634256,6527.59297065518
"10","Confluence","10800-b","2024",10865.5250139412,16926.9351611739,7241.00929300598
"11","Confluence","15000-3-m","2016",16675.3137931422,26457.0874007345,10885.5004875969
"12","Confluence","15000-3-m","2024",16716.6675483753,26524.4834218943,10923.6841962308
"13","Confluence","15000-60d","2016",9116.0883556656,13925.214199613,6139.0524855367
"14","Confluence","15000-60d","2024",11625.8122914974,18017.4912722343,7754.78748759614
"15","Confluence","15000-b","2016",8712.30141695799,13289.4354892126,5883.94251699661
"16","Confluence","15000-b","2024",9639.2156466265,14790.2040942277,6479.44668962656
"17","Confluence","21000","2016",20801.1372153141,33334.0736041333,13485.3067414248
"18","Confluence","21000","2024",20172.3607889046,32313.981486687,13085.7218190916
"19","Suisun Bay","Noaction","2016",23.3152375332433,36.9969599046747,14.584299657618
"20","Suisun Bay","Noaction","2024",30.2414253451663,47.7520484497544,18.9997590178881
"21","Suisun Bay","fallx2","2016",31.6031549257098,50.7675532613513,19.5249141766349
"22","Suisun Bay","fallx2","2024",51.6278836882055,83.3637891318474,31.8023728534768
"23","Suisun Bay","10800-3-m","2016",54.0250523547381,86.8951074378004,33.1423915394282
"24","Suisun Bay","10800-3-m","2024",66.2449172364243,105.734124594452,40.8245632829886
"25","Suisun Bay","10800-60d","2016",35.3456440379494,56.1953817029963,21.9377318971741
"26","Suisun Bay","10800-60d","2024",54.1604851938013,85.7872593824213,33.5315438677514
"27","Suisun Bay","10800-b","2016",63.0048300148333,102.145007858432,38.4379317435193
"28","Suisun Bay","10800-b","2024",78.6795511046875,126.565917023741,48.2504915856148
"29","Suisun Bay","15000-3-m","2016",123.263316067806,202.671590988354,74.2046224076894
"30","Suisun Bay","15000-3-m","2024",142.44787423181,232.128823603825,86.5201543114626
"31","Suisun Bay","15000-60d","2016",61.4458608038603,98.0321862585696,37.8436365824679
"32","Suisun Bay","15000-60d","2024",84.8448179138843,134.901866324356,52.5005127600193
"33","Suisun Bay","15000-b","2016",57.2323144406684,91.1917618774024,35.2981280134972
"34","Suisun Bay","15000-b","2024",71.074776785817,112.661512324782,44.0516657690413
"35","Suisun Bay","21000","2016",244.19615838089,409.970605928834,143.543637911805
"36","Suisun Bay","21000","2024",260.268448885234,432.835614055415,154.538957655738
"37","Suisun Marsh","Noaction","2016",254.16305747531,434.352467536065,147.164358595458
"38","Suisun Marsh","Noaction","2024",394.531054757992,671.241576481573,224.414804792417
"39","Suisun Marsh","fallx2","2016",294.998253415048,508.944206966176,168.74810733095
"40","Suisun Marsh","fallx2","2024",535.815255953941,932.379426692698,299.267692719887
"41","Suisun Marsh","10800-3-m","2016",400.855353216631,694.5006133369,227.117462040016
"42","Suisun Marsh","10800-3-m","2024",608.909780333791,1062.48276090227,341.180971378378
"43","Suisun Marsh","10800-60d","2016",323.361828981868,552.007801550311,185.596640895583
"44","Suisun Marsh","10800-60d","2024",554.411242337449,958.319503987978,312.609771620677
"45","Suisun Marsh","10800-b","2016",434.058190979878,757.316188486587,244.761107246066
"46","Suisun Marsh","10800-b","2024",681.480885683891,1195.33120057583,379.43416648429
"47","Suisun Marsh","15000-3-m","2016",671.341138046234,1198.44487794427,373.003937320388
"48","Suisun Marsh","15000-3-m","2024",1067.13347895002,1918.51233182657,579.360312044688
"49","Suisun Marsh","15000-60d","2016",465.693510526284,806.402667119838,264.475686248482
"50","Suisun Marsh","15000-60d","2024",793.658120301837,1398.40000641756,440.989096142416
"51","Suisun Marsh","15000-b","2016",447.47880438258,772.914403107597,254.509411720103
"52","Suisun Marsh","15000-b","2024",716.453619166734,1251.41520888118,400.572430123382
"53","Suisun Marsh","21000","2016",1102.16718944474,2015.11971778091,590.880325373507
"54","Suisun Marsh","21000","2024",1626.57122278835,2996.97726288768,867.22929700422
