"","Day","s","Location","ForkLength"
"1",2,1,"RioVista",50.9594920687592
"2",2,1,"Montezuma",50.8771759613305
"3",3,1,"RioVista",51.0632231056291
"4",3,1,"Montezuma",50.8992000414067
"5",4,1,"RioVista",51.1712085110652
"6",4,1,"Montezuma",50.9341952885363
"7",5,1,"RioVista",51.285123829473
"8",5,1,"Montezuma",50.9737623919008
"9",6,1,"RioVista",51.4017441239158
"10",6,1,"Montezuma",51.0130233114622
"11",7,1,"RioVista",51.5190097498476
"12",7,1,"Montezuma",51.0491997533747
"13",8,1,"RioVista",51.6356589627673
"14",8,1,"Montezuma",51.0797202035257
"15",9,1,"RioVista",51.7527587053791
"16",9,1,"Montezuma",51.1058428311527
"17",10,1,"RioVista",51.8693972632549
"18",10,1,"Montezuma",51.1323297906951
"19",11,1,"RioVista",51.9848258275631
"20",11,1,"Montezuma",51.1615717310728
"21",12,1,"RioVista",52.099080789034
"22",12,1,"Montezuma",51.1898016449497
"23",13,1,"RioVista",52.2124370075151
"24",13,1,"Montezuma",51.2186329696206
"25",14,1,"RioVista",52.325104836629
"26",14,1,"Montezuma",51.2486970112168
"27",15,1,"RioVista",52.4373543132523
"28",15,1,"Montezuma",51.2814725434246
"29",16,1,"RioVista",52.5488084375297
"30",16,1,"Montezuma",51.314571581158
"31",17,1,"RioVista",52.660269212979
"32",17,1,"Montezuma",51.3483736036852
"33",18,1,"RioVista",52.7717717862389
"34",18,1,"Montezuma",51.3873507770577
"35",19,1,"RioVista",52.8330832242058
"36",19,1,"Montezuma",51.4963163622697
"37",20,1,"RioVista",52.8950107358673
"38",20,1,"Montezuma",51.6070065108717
"39",21,1,"RioVista",52.956568230223
"40",21,1,"Montezuma",51.7170522331978
"41",22,1,"RioVista",53.0179740057309
"42",22,1,"Montezuma",51.8243565473844
"43",23,1,"RioVista",53.0787178593311
"44",23,1,"Montezuma",51.9299018315981
"45",24,1,"RioVista",53.1391724705934
"46",24,1,"Montezuma",52.0322823677958
"47",25,1,"RioVista",53.1994904594867
"48",25,1,"Montezuma",52.1336733216995
"49",26,1,"RioVista",53.2601315013412
"50",26,1,"Montezuma",52.2338583065676
"51",27,1,"RioVista",53.3210970390998
"52",27,1,"Montezuma",52.335666061466
"53",28,1,"RioVista",53.3820518757545
"54",28,1,"Montezuma",52.4397570029654
"55",29,1,"RioVista",53.4429404225103
"56",29,1,"Montezuma",52.5450595033202
"57",30,1,"RioVista",53.5037907803984
"58",30,1,"Montezuma",52.652290074079
"59",31,1,"RioVista",53.5646378175276
"60",31,1,"Montezuma",52.760939764652
"61",32,1,"RioVista",53.6255214460316
"62",32,1,"Montezuma",52.87201642168
"63",33,1,"RioVista",53.6569981426846
"64",33,1,"Montezuma",52.9383175841516
"65",34,1,"RioVista",53.6881707437536
"66",34,1,"Montezuma",53.0046415247542
"67",35,1,"RioVista",53.7190180352929
"68",35,1,"Montezuma",53.0694655073493
"69",36,1,"RioVista",53.7494755080401
"70",36,1,"Montezuma",53.1328084893481
"71",37,1,"RioVista",53.7793924941076
"72",37,1,"Montezuma",53.191954774775
"73",38,1,"RioVista",53.8085589228519
"74",38,1,"Montezuma",53.246112153822
"75",39,1,"RioVista",53.8366915696061
"76",39,1,"Montezuma",53.2959188210113
"77",40,1,"RioVista",53.8635664456249
"78",40,1,"Montezuma",53.3439172862244
"79",41,1,"RioVista",53.8893715821865
"80",41,1,"Montezuma",53.3943198027241
"81",42,1,"RioVista",53.9154390629817
"82",42,1,"Montezuma",53.4507691738937
"83",43,1,"RioVista",53.9416493848371
"84",43,1,"Montezuma",53.507038637678
"85",44,1,"RioVista",53.9681098877984
"86",44,1,"Montezuma",53.5638877591799
"87",45,1,"RioVista",53.9947575846094
"88",45,1,"Montezuma",53.6199200425601
"89",46,1,"RioVista",54.02151312452
"90",46,1,"Montezuma",53.6755921476377
"91",47,1,"RioVista",54.0482834941235
"92",47,1,"Montezuma",53.7231469364371
"93",2,2,"RioVista",50.917124889954
"94",2,2,"Montezuma",50.8441824788864
"95",3,2,"RioVista",50.9741495125851
"96",3,2,"Montezuma",50.8295326926912
"97",4,2,"RioVista",51.0413166724516
"98",4,2,"Montezuma",50.8400988357263
"99",5,2,"RioVista",51.1264010445106
"100",5,2,"Montezuma",50.8643118724152
"101",6,2,"RioVista",51.2200559148149
"102",6,2,"Montezuma",50.8899113351161
"103",7,2,"RioVista",51.3170027337247
"104",7,2,"Montezuma",50.9116278117462
"105",8,2,"RioVista",51.4142191206008
"106",8,2,"Montezuma",50.9248677494652
"107",9,2,"RioVista",51.5132292859606
"108",9,2,"Montezuma",50.9317245789285
"109",10,2,"RioVista",51.6122193435746
"110",10,2,"Montezuma",50.9415939142386
"111",11,2,"RioVista",51.7093136892814
"112",11,2,"Montezuma",50.9558099554404
"113",12,2,"RioVista",51.8042845451982
"114",12,2,"Montezuma",50.9686088688907
"115",13,2,"RioVista",51.8977597201558
"116",13,2,"Montezuma",50.9824597956539
"117",14,2,"RioVista",51.9900582074878
"118",14,2,"Montezuma",50.9981413989421
"119",15,2,"RioVista",52.0820320659091
"120",15,2,"Montezuma",51.0184771994287
"121",16,2,"RioVista",52.172871080055
"122",16,2,"Montezuma",51.0387086469958
"123",17,2,"RioVista",52.2643367561168
"124",17,2,"Montezuma",51.0606514822329
"125",18,2,"RioVista",52.3565894937288
"126",18,2,"Montezuma",51.0906817584204
