"","Day","s","Location","ForkLength"
"1",1,1,"RioVista",50.6129032258064
"2",1,1,"Montezuma",50.6129032258064
"3",2,1,"RioVista",50.9714628562759
"4",2,1,"Montezuma",50.8650044284079
"5",3,1,"RioVista",51.0866614810792
"6",3,1,"Montezuma",50.8732051664793
"7",4,1,"RioVista",51.2057399293913
"8",4,1,"Montezuma",50.892070761824
"9",5,1,"RioVista",51.3316721994545
"10",5,1,"Montezuma",50.9160252913205
"11",6,1,"RioVista",51.4601825377049
"12",6,1,"Montezuma",50.9407629760542
"13",7,1,"RioVista",51.5897012602454
"14",7,1,"Montezuma",50.965092217686
"15",8,1,"RioVista",51.7193562805462
"16",8,1,"Montezuma",50.9879876430514
"17",9,1,"RioVista",51.8494348193117
"18",9,1,"Montezuma",51.0097424788878
"19",10,1,"RioVista",51.9794390077481
"20",10,1,"Montezuma",51.0330391507914
"21",11,1,"RioVista",52.1082741237916
"22",11,1,"Montezuma",51.0566575865858
"23",12,1,"RioVista",52.2357251888139
"24",12,1,"Montezuma",51.0797639993733
"25",13,1,"RioVista",52.3621177051774
"26",13,1,"Montezuma",51.102711606253
"27",14,1,"RioVista",52.487512939018
"28",14,1,"Montezuma",51.1254901126261
"29",15,1,"RioVista",52.6123349728146
"30",15,1,"Montezuma",51.1488584044796
"31",16,1,"RioVista",52.7363118660192
"32",16,1,"Montezuma",51.1714231484835
"33",17,1,"RioVista",52.8600531139256
"34",17,1,"Montezuma",51.1942462260641
"35",18,1,"RioVista",52.9837046079138
"36",18,1,"Montezuma",51.2179643882792
"37",19,1,"RioVista",53.0530113812588
"38",19,1,"Montezuma",51.3057381923182
"39",20,1,"RioVista",53.122691876021
"40",20,1,"Montezuma",51.3945920409047
"41",21,1,"RioVista",53.1924388607628
"42",21,1,"Montezuma",51.4839471783353
"43",22,1,"RioVista",53.2623582346666
"44",22,1,"Montezuma",51.5732257952889
"45",23,1,"RioVista",53.3319343498056
"46",23,1,"Montezuma",51.6620532090256
"47",24,1,"RioVista",53.4015078783673
"48",24,1,"Montezuma",51.7509448553773
"49",25,1,"RioVista",53.4710327492776
"50",25,1,"Montezuma",51.8396586799783
"51",26,1,"RioVista",53.5405709645193
"52",26,1,"Montezuma",51.9281690782616
"53",27,1,"RioVista",53.6101284488511
"54",27,1,"Montezuma",52.0166318686867
"55",28,1,"RioVista",53.6794883516818
"56",28,1,"Montezuma",52.104703454714
"57",29,1,"RioVista",53.7484802635165
"58",29,1,"Montezuma",52.1915984680401
"59",30,1,"RioVista",53.8173057082523
"60",30,1,"Montezuma",52.2775917971055
"61",31,1,"RioVista",53.8860011707473
"62",31,1,"Montezuma",52.3629325433395
"63",32,1,"RioVista",53.954462307379
"64",32,1,"Montezuma",52.4479789430052
"65",33,1,"RioVista",53.9917102315874
"66",33,1,"Montezuma",52.4938156819122
"67",34,1,"RioVista",54.0288292116403
"68",34,1,"Montezuma",52.5396247573983
"69",35,1,"RioVista",54.0658369884989
"70",35,1,"Montezuma",52.5851579557917
"71",36,1,"RioVista",54.1027499703683
"72",36,1,"Montezuma",52.6301949123575
"73",37,1,"RioVista",54.1393335300353
"74",37,1,"Montezuma",52.6740309728914
"75",38,1,"RioVista",54.1753040468694
"76",38,1,"Montezuma",52.7162624512926
"77",39,1,"RioVista",54.2102726678808
"78",39,1,"Montezuma",52.756528227387
"79",40,1,"RioVista",54.2440088131956
"80",40,1,"Montezuma",52.7946484146444
"81",41,1,"RioVista",54.2766024603689
"82",41,1,"Montezuma",52.8309113631722
"83",42,1,"RioVista",54.309213527876
"84",42,1,"Montezuma",52.8687767580033
"85",43,1,"RioVista",54.3418436695595
"86",43,1,"Montezuma",52.9082164961914
"87",44,1,"RioVista",54.3746005290551
"88",44,1,"Montezuma",52.9491235852338
"89",45,1,"RioVista",54.4075209700664
"90",45,1,"Montezuma",52.9905323665094
"91",46,1,"RioVista",54.4404786544043
"92",46,1,"Montezuma",53.0320413938464
"93",47,1,"RioVista",54.473551266542
"94",47,1,"Montezuma",53.0734767663487
"95",1,2,"RioVista",50.6129032258064
"96",1,2,"Montezuma",50.6129032258064
"97",2,2,"RioVista",50.9307284293267
"98",2,2,"Montezuma",50.8317945357916
"99",3,2,"RioVista",51.0003573490109
