"","Day","s","Location","ForkLength"
"1",1,1,"RioVista",50.6129032258064
"2",1,1,"Montezuma",50.6129032258064
"3",2,1,"RioVista",50.9231463009835
"4",2,1,"Montezuma",50.9415238479423
"5",3,1,"RioVista",50.9911260883133
"6",3,1,"Montezuma",51.0264847567521
"7",4,1,"RioVista",51.0626761927776
"8",4,1,"Montezuma",51.130990696047
"9",5,1,"RioVista",51.1393901106889
"10",5,1,"Montezuma",51.2416083095561
"11",6,1,"RioVista",51.2185858563429
"12",6,1,"Montezuma",51.351365606957
"13",7,1,"RioVista",51.2985274535564
"14",7,1,"Montezuma",51.4561887345573
"15",8,1,"RioVista",51.3781029027366
"16",8,1,"Montezuma",51.5522705274597
"17",9,1,"RioVista",51.4582500792875
"18",9,1,"Montezuma",51.641505657544
"19",10,1,"RioVista",51.5381521362699
"20",10,1,"Montezuma",51.7307424563876
"21",11,1,"RioVista",51.6169596514466
"22",11,1,"Montezuma",51.8241772359267
"23",12,1,"RioVista",51.6946701532446
"24",12,1,"Montezuma",51.9160500438703
"25",13,1,"RioVista",51.7715795100386
"26",13,1,"Montezuma",52.0088263257997
"27",14,1,"RioVista",51.8478727889008
"28",14,1,"Montezuma",52.1035258478252
"29",15,1,"RioVista",51.9238411115114
"30",15,1,"Montezuma",52.2022133693796
"31",16,1,"RioVista",51.9991355380702
"32",16,1,"Montezuma",52.3016233325272
"33",17,1,"RioVista",52.0745053804635
"34",17,1,"Montezuma",52.4019141512279
"35",18,1,"RioVista",52.1500120316691
"36",18,1,"Montezuma",52.509957836096
"37",19,1,"RioVista",52.2266874212493
"38",19,1,"Montezuma",52.6154191833263
"39",20,1,"RioVista",52.3039351621199
"40",20,1,"Montezuma",52.7226165016121
"41",21,1,"RioVista",52.3806942263195
"42",21,1,"Montezuma",52.8292102139818
"43",22,1,"RioVista",52.4571880681588
"44",22,1,"Montezuma",52.9331229378331
"45",23,1,"RioVista",52.5329248637395
"46",23,1,"Montezuma",53.0353089243472
"47",24,1,"RioVista",52.6082654975935
"48",24,1,"Montezuma",53.1344034084471
"49",25,1,"RioVista",52.6833846446754
"50",25,1,"Montezuma",53.2325375125662
"51",26,1,"RioVista",52.7587807441544
"52",26,1,"Montezuma",53.3294980968526
"53",27,1,"RioVista",52.8344504600571
"54",27,1,"Montezuma",53.4280728988768
"55",28,1,"RioVista",52.9100573059883
"56",28,1,"Montezuma",53.5288980778054
"57",29,1,"RioVista",52.9855706813171
"58",29,1,"Montezuma",53.6308892585044
"59",30,1,"RioVista",53.0609822619375
"60",30,1,"Montezuma",53.7347626971851
"61",31,1,"RioVista",53.1363207425552
"62",31,1,"Montezuma",53.8400271519516
"63",32,1,"RioVista",53.2116496701629
"64",32,1,"Montezuma",53.947685912717
"65",33,1,"RioVista",53.2866980941408
"66",33,1,"Montezuma",54.0571156615148
"67",34,1,"RioVista",53.3611333840596
"68",34,1,"Montezuma",54.1664033282863
"69",35,1,"RioVista",53.4349065569476
"70",35,1,"Montezuma",54.2736468268166
"71",36,1,"RioVista",53.5079046909987
"72",36,1,"Montezuma",54.3789779208267
"73",37,1,"RioVista",53.5800958093923
"74",37,1,"Montezuma",54.4791194787829
"75",38,1,"RioVista",53.6514005223494
"76",38,1,"Montezuma",54.5731654140444
"77",39,1,"RioVista",53.7216817666312
"78",39,1,"Montezuma",54.662059779516
"79",40,1,"RioVista",53.7907302179817
"80",40,1,"Montezuma",54.7491753010648
"81",41,1,"RioVista",53.8587199204679
"82",41,1,"Montezuma",54.839932840531
"83",42,1,"RioVista",53.9268539106795
"84",42,1,"Montezuma",54.9380755211996
"85",43,1,"RioVista",53.9949526746349
"86",43,1,"Montezuma",55.0352530877677
"87",44,1,"RioVista",54.0630942987642
"88",44,1,"Montezuma",55.1324315191543
"89",45,1,"RioVista",54.1311490189912
"90",45,1,"Montezuma",55.2281241887641
"91",46,1,"RioVista",54.1990771555297
"92",46,1,"Montezuma",55.3231066808586
"93",47,1,"RioVista",54.2666705729588
"94",47,1,"Montezuma",55.407163081
"95",1,2,"RioVista",50.6129032258064
"96",1,2,"Montezuma",50.6129032258064
"97",2,2,"RioVista",50.8870370255218
"98",2,2,"Montezuma",50.8949299874842
"99",3,2,"RioVista",50.9154128191782
