"","Day","s","Location","ForkLength"
"1",2,1,"RioVista",50.9231463009835
"2",2,1,"Montezuma",50.9415238479423
"3",3,1,"RioVista",50.9911260883133
"4",3,1,"Montezuma",51.0264847567521
"5",4,1,"RioVista",51.0626761927776
"6",4,1,"Montezuma",51.130990696047
"7",5,1,"RioVista",51.1393901106889
"8",5,1,"Montezuma",51.2416083095561
"9",6,1,"RioVista",51.2185858563429
"10",6,1,"Montezuma",51.351365606957
"11",7,1,"RioVista",51.2985274535564
"12",7,1,"Montezuma",51.4561887345573
"13",8,1,"RioVista",51.3781029027366
"14",8,1,"Montezuma",51.5522705274597
"15",9,1,"RioVista",51.4582500792875
"16",9,1,"Montezuma",51.641505657544
"17",10,1,"RioVista",51.5381521362699
"18",10,1,"Montezuma",51.7307424563876
"19",11,1,"RioVista",51.6169596514466
"20",11,1,"Montezuma",51.8241772359267
"21",12,1,"RioVista",51.6946701532446
"22",12,1,"Montezuma",51.9160500438703
"23",13,1,"RioVista",51.7715795100386
"24",13,1,"Montezuma",52.0088263257997
"25",14,1,"RioVista",51.8478727889008
"26",14,1,"Montezuma",52.1035258478252
"27",15,1,"RioVista",51.9238411115114
"28",15,1,"Montezuma",52.2022133693796
"29",16,1,"RioVista",51.9991355380702
"30",16,1,"Montezuma",52.3016233325272
"31",17,1,"RioVista",52.0745053804635
"32",17,1,"Montezuma",52.4019141512279
"33",18,1,"RioVista",52.1500120316691
"34",18,1,"Montezuma",52.509957836096
"35",19,1,"RioVista",52.2266874212493
"36",19,1,"Montezuma",52.6154191833263
"37",20,1,"RioVista",52.3039351621199
"38",20,1,"Montezuma",52.7226165016121
"39",21,1,"RioVista",52.3806942263195
"40",21,1,"Montezuma",52.8292102139818
"41",22,1,"RioVista",52.4571880681588
"42",22,1,"Montezuma",52.9331229378331
"43",23,1,"RioVista",52.5329248637395
"44",23,1,"Montezuma",53.0353089243472
"45",24,1,"RioVista",52.6082654975935
"46",24,1,"Montezuma",53.1344034084471
"47",25,1,"RioVista",52.6833846446754
"48",25,1,"Montezuma",53.2325375125662
"49",26,1,"RioVista",52.7587807441544
"50",26,1,"Montezuma",53.3294980968526
"51",27,1,"RioVista",52.8344504600571
"52",27,1,"Montezuma",53.4280728988768
"53",28,1,"RioVista",52.9100573059883
"54",28,1,"Montezuma",53.5288980778054
"55",29,1,"RioVista",52.9855706813171
"56",29,1,"Montezuma",53.6308892585044
"57",30,1,"RioVista",53.0609822619375
"58",30,1,"Montezuma",53.7347626971851
"59",31,1,"RioVista",53.1363207425552
"60",31,1,"Montezuma",53.8400271519516
"61",32,1,"RioVista",53.2116496701629
"62",32,1,"Montezuma",53.947685912717
"63",33,1,"RioVista",53.2866980941408
"64",33,1,"Montezuma",54.0571156615148
"65",34,1,"RioVista",53.3611333840596
"66",34,1,"Montezuma",54.1664033282863
"67",35,1,"RioVista",53.4349065569476
"68",35,1,"Montezuma",54.2736468268166
"69",36,1,"RioVista",53.5079046909987
"70",36,1,"Montezuma",54.3789779208267
"71",37,1,"RioVista",53.5800958093923
"72",37,1,"Montezuma",54.4791194787829
"73",38,1,"RioVista",53.6514005223494
"74",38,1,"Montezuma",54.5731654140444
"75",39,1,"RioVista",53.7216817666312
"76",39,1,"Montezuma",54.662059779516
"77",40,1,"RioVista",53.7907302179817
"78",40,1,"Montezuma",54.7491753010648
"79",41,1,"RioVista",53.8587199204679
"80",41,1,"Montezuma",54.839932840531
"81",42,1,"RioVista",53.9268539106795
"82",42,1,"Montezuma",54.9380755211996
"83",43,1,"RioVista",53.9949526746349
"84",43,1,"Montezuma",55.0352530877677
"85",44,1,"RioVista",54.0630942987642
"86",44,1,"Montezuma",55.1324315191543
"87",45,1,"RioVista",54.1311490189912
"88",45,1,"Montezuma",55.2281241887641
"89",46,1,"RioVista",54.1990771555297
"90",46,1,"Montezuma",55.3231066808586
"91",47,1,"RioVista",54.2666705729588
"92",47,1,"Montezuma",55.407163081
"93",2,2,"RioVista",50.8870370255218
"94",2,2,"Montezuma",50.8949299874842
"95",3,2,"RioVista",50.9154128191782
"96",3,2,"Montezuma",50.9274258954941
"97",4,2,"RioVista",50.9521560779579
"98",4,2,"Montezuma",50.9988137388451
"99",5,2,"RioVista",51.0038327155039
"100",5,2,"Montezuma",51.0905510183648
"101",6,2,"RioVista",51.06281458726
"102",6,2,"Montezuma",51.1839940001315
"103",7,2,"RioVista",51.1247555513025
"104",7,2,"Montezuma",51.2711634517409
"105",8,2,"RioVista",51.1871025220837
"106",8,2,"Montezuma",51.3450928835125
"107",9,2,"RioVista",51.2511798014011
"108",9,2,"Montezuma",51.4089961265637
"109",10,2,"RioVista",51.3154237995407
"110",10,2,"Montezuma",51.4769694408158
"111",11,2,"RioVista",51.378021201556
"112",11,2,"Montezuma",51.5515782693401
"113",12,2,"RioVista",51.4387490089401
"114",12,2,"Montezuma",51.623938513487
"115",13,2,"RioVista",51.4982038387104
"116",13,2,"Montezuma",51.6978526994849
"117",14,2,"RioVista",51.5566616635309
"118",14,2,"Montezuma",51.7745727133826
"119",15,2,"RioVista",51.6148991772071
"120",15,2,"Montezuma",51.8582387891836
"121",16,2,"RioVista",51.6722071059694
"122",16,2,"Montezuma",51.9419218870202
"123",17,2,"RioVista",51.7301324562133
"124",17,2,"Montezuma",52.0279815504462
"125",18,2,"RioVista",51.7888447121376
"126",18,2,"Montezuma",52.1262311552004
"127",19,2,"RioVista",51.8498109912439
"128",19,2,"Montezuma",52.2235419217557
"129",20,2,"RioVista",51.9121030294666
"130",20,2,"Montezuma",52.32457869895
"131",21,2,"RioVista",51.9741011935422
"132",21,2,"Montezuma",52.4254484210138
"133",22,2,"RioVista",52.0360840628559
"134",22,2,"Montezuma",52.5230609544065
"135",23,2,"RioVista",52.0972380391418
"136",23,2,"Montezuma",52.6185252447513
"137",24,2,"RioVista",52.1581135569742
"138",24,2,"Montezuma",52.7102002561137
"139",25,2,"RioVista",52.2189138390181
"140",25,2,"Montezuma",52.8007943926363
"141",26,2,"RioVista",52.2802930431966
"142",26,2,"Montezuma",52.8900168607265
"143",27,2,"RioVista",52.3422392087247
"144",27,2,"Montezuma",52.9815435202221
"145",28,2,"RioVista",52.4042745366981
"146",28,2,"Montezuma",53.076135079894
"147",29,2,"RioVista",52.4663328954431
"148",29,2,"Montezuma",53.172212797002
"149",30,2,"RioVista",52.5284344638289
"150",30,2,"Montezuma",53.270756219724
"151",31,2,"RioVista",52.5906252649102
"152",31,2,"Montezuma",53.3711710310641
"153",32,2,"RioVista",52.6529745074841
"154",32,2,"Montezuma",53.4748459008697
"155",33,2,"RioVista",52.7151317878694
"156",33,2,"Montezuma",53.5810507933921
"157",34,2,"RioVista",52.7766537831515
"158",34,2,"Montezuma",53.6872039896932
"159",35,2,"RioVista",52.8374835595306
"160",35,2,"Montezuma",53.7907852402152
"161",36,2,"RioVista",52.8974819681865
"162",36,2,"Montezuma",53.8919353916815
"163",37,2,"RioVista",52.9565597729264
"164",37,2,"Montezuma",53.9862774167822
"165",38,2,"RioVista",53.0145555366728
"166",38,2,"Montezuma",54.072541264356
"167",39,2,"RioVista",53.0712345608082
"168",39,2,"Montezuma",54.1517136773793
"169",40,2,"RioVista",53.1263161921385
"170",40,2,"Montezuma",54.2276257789603
"171",41,2,"RioVista",53.1800532259426
"172",41,2,"Montezuma",54.3067681830857
"173",42,2,"RioVista",53.2341616909569
"174",42,2,"Montezuma",54.397499260917
"175",43,2,"RioVista",53.2884061326571
"176",43,2,"Montezuma",54.4881017979302
"177",44,2,"RioVista",53.3429031593698
"178",44,2,"Montezuma",54.5792485594572
"179",45,2,"RioVista",53.3974934987369
"180",45,2,"Montezuma",54.6687048715367
"181",46,2,"RioVista",53.4521142067659
"182",46,2,"Montezuma",54.7574096182298
"183",47,2,"RioVista",53.5065172892778
"184",47,2,"Montezuma",54.8320913014845
"185",2,3,"RioVista",50.8838143957671
"186",2,3,"Montezuma",50.8783630950197
"187",3,3,"RioVista",50.9069855292997
"188",3,3,"Montezuma",50.8930682004574
"189",4,3,"RioVista",50.9411422904157
"190",4,3,"Montezuma",50.9508004598993
"191",5,3,"RioVista",50.9988709663473
"192",5,3,"Montezuma",51.0398089381706
"193",6,3,"RioVista",51.0695854572303
"194",6,3,"Montezuma",51.1340341782026
"195",7,3,"RioVista",51.1463987012251
"196",7,3,"Montezuma",51.2225786743494
"197",8,3,"RioVista",51.2250266209469
"198",8,3,"Montezuma",51.2963202081903
"199",9,3,"RioVista",51.3069373650047
"200",9,3,"Montezuma",51.3593037525784
"201",10,3,"RioVista",51.389688431543
"202",10,3,"Montezuma",51.4312089481451
"203",11,3,"RioVista",51.4701719967954
"204",11,3,"Montezuma",51.5107365870894
"205",12,3,"RioVista",51.5477302086119
"206",12,3,"Montezuma",51.5876775910863
"207",13,3,"RioVista",51.6233469709739
"208",13,3,"Montezuma",51.6664127821484
"209",14,3,"RioVista",51.6973523481475
"210",14,3,"Montezuma",51.7479931911571
"211",15,3,"RioVista",51.7712432349089
"212",15,3,"Montezuma",51.8385118107478
"213",16,3,"RioVista",51.8438655146072
"214",16,3,"Montezuma",51.9274124323621
"215",17,3,"RioVista",51.9177629003212
"216",17,3,"Montezuma",52.0202552813153
"217",18,3,"RioVista",51.9932843283133
"218",18,3,"Montezuma",52.1277166894834
"219",19,3,"RioVista",52.0720450405589
"220",19,3,"Montezuma",52.238583237493
"221",20,3,"RioVista",52.1528718593352
"222",20,3,"Montezuma",52.3555861831695
"223",21,3,"RioVista",52.2337713783472
"224",21,3,"Montezuma",52.4734056765161
"225",22,3,"RioVista",52.3149308211514
"226",22,3,"Montezuma",52.5883925365534
"227",23,3,"RioVista",52.395300374643
"228",23,3,"Montezuma",52.7013463415628
"229",24,3,"RioVista",52.4754776283012
"230",24,3,"Montezuma",52.8108725978992
"231",25,3,"RioVista",52.5555842783102
"232",25,3,"Montezuma",52.9193769070487
"233",26,3,"RioVista",52.6361886998369
"234",26,3,"Montezuma",53.0265413408482
"235",27,3,"RioVista",52.7172255727037
"236",27,3,"Montezuma",53.1357874314186
"237",28,3,"RioVista",52.7982408612166
"238",28,3,"Montezuma",53.2478568695134
"239",29,3,"RioVista",52.8791968802984
"240",29,3,"Montezuma",53.3613440993694
"241",30,3,"RioVista",52.960059823606
"242",30,3,"Montezuma",53.4770894325709
"243",31,3,"RioVista",53.0408436901966
"244",31,3,"Montezuma",53.5945354768669
"245",32,3,"RioVista",53.1216333152162
"246",32,3,"Montezuma",53.7150424589933
"247",33,3,"RioVista",53.2020831295168
"248",33,3,"Montezuma",53.8378861676085
"249",34,3,"RioVista",53.2817884553468
"250",34,3,"Montezuma",53.9605858296877
"251",35,3,"RioVista",53.3606818051923
"252",35,3,"Montezuma",54.0807799839138
"253",36,3,"RioVista",53.4386164604167
"254",36,3,"Montezuma",54.198640104037
"255",37,3,"RioVista",53.5156093058561
"256",37,3,"Montezuma",54.3100840289366
"257",38,3,"RioVista",53.5916309705882
"258",38,3,"Montezuma",54.4137139690683
"259",39,3,"RioVista",53.6665888959006
"260",39,3,"Montezuma",54.5098382588072
"261",40,3,"RioVista",53.7402238773178
"262",40,3,"Montezuma",54.6008180140767
"263",41,3,"RioVista",53.81266970587
"264",41,3,"Montezuma",54.6917872237441
"265",42,3,"RioVista",53.8853488639095
"266",42,3,"Montezuma",54.7972016649798
"267",43,3,"RioVista",53.9580209055824
"268",43,3,"Montezuma",54.9043415402521
"269",44,3,"RioVista",54.0307505066378
"270",44,3,"Montezuma",55.0124025301454
"271",45,3,"RioVista",54.103349583503
"272",45,3,"Montezuma",55.1187390946456
"273",46,3,"RioVista",54.1757792989838
"274",46,3,"Montezuma",55.2242137535501
"275",47,3,"RioVista",54.2477550274646
"276",47,3,"Montezuma",55.3162490119306
"277",2,4,"RioVista",50.896506135719
"278",2,4,"Montezuma",50.9194305772458
"279",3,4,"RioVista",50.9392573236167
"280",3,4,"Montezuma",50.9871229809611
"281",4,4,"RioVista",50.9836494666863
"282",4,4,"Montezuma",51.0621772159854
"283",5,4,"RioVista",51.0311635409826
"284",5,4,"Montezuma",51.1395359126525
"285",6,4,"RioVista",51.0812050735219
"286",6,4,"Montezuma",51.2158655066764
"287",7,4,"RioVista",51.1325560771368
"288",7,4,"Montezuma",51.2877944380412
"289",8,4,"RioVista",51.1840279433799
"290",8,4,"Montezuma",51.3521298432963
"291",9,4,"RioVista",51.2368275628319
"292",9,4,"Montezuma",51.4105579594724
"293",10,4,"RioVista",51.2899180617561
"294",10,4,"Montezuma",51.4685840112246
"295",11,4,"RioVista",51.341429732221
"296",11,4,"Montezuma",51.530206588447
"297",12,4,"RioVista",51.3912379251728
"298",12,4,"Montezuma",51.5903673164463
"299",13,4,"RioVista",51.4399440745279
"300",13,4,"Montezuma",51.6512384993633
"301",14,4,"RioVista",51.4877840190845
"302",14,4,"Montezuma",51.7137126102219
"303",15,4,"RioVista",51.5353097746217
"304",15,4,"Montezuma",51.779724474758
"305",16,4,"RioVista",51.5820364058794
"306",16,4,"Montezuma",51.8461800741126
"307",17,4,"RioVista",51.6290321530454
"308",17,4,"Montezuma",51.9134339430042
"309",18,4,"RioVista",51.6765065216193
"310",18,4,"Montezuma",51.9877913928
"311",19,4,"RioVista",51.7256846937255
"312",19,4,"Montezuma",52.0609126233704
"313",20,4,"RioVista",51.7761490441931
"314",20,4,"Montezuma",52.1369800746699
"315",21,4,"RioVista",51.8267128406688
"316",21,4,"Montezuma",52.2136530294033
"317",22,4,"RioVista",51.8777297771537
"318",22,4,"Montezuma",52.2885137316508
"319",23,4,"RioVista",51.9281683734892
"320",23,4,"Montezuma",52.3619082157608
"321",24,4,"RioVista",51.9787718025218
"322",24,4,"Montezuma",52.4333696633626
"323",25,4,"RioVista",52.0296509464495
"324",25,4,"Montezuma",52.5044284763662
"325",26,4,"RioVista",52.0813379033993
"326",26,4,"Montezuma",52.5748821808314
"327",27,4,"RioVista",52.1338640087161
"328",27,4,"Montezuma",52.647401742136
"329",28,4,"RioVista",52.186647573011
"330",28,4,"Montezuma",52.7220034596548
"331",29,4,"RioVista",52.2394168418191
"332",29,4,"Montezuma",52.7965058370193
"333",30,4,"RioVista",52.2924714153885
"334",30,4,"Montezuma",52.8719996606009
"335",31,4,"RioVista",52.3459099381622
"336",31,4,"Montezuma",52.948434934482
