"Subregion_edit","Year","DOY","IBMR","Observed EC_median","Observed EC_l95","Observed EC_u95","SMSCG Open_median","SMSCG Open_l95","SMSCG Open_u95","SMSCG Tidal Op_median","SMSCG Tidal Op_l95","SMSCG Tidal Op_u95"
"Suisun Marsh",2025,141,"acartela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"allcopnaup",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"euryjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"eurytem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"limno",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"othcalad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"othcaljuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"othclad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"othcyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"pdiapfor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,141,"pdiapjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"acartela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"allcopnaup",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"daphnia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"euryjuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"eurytem",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"limno",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"othcalad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"othcaljuv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"othclad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suisun Marsh",2025,142,"othcyc",NA,NA,NA,NA,NA,NA,NA,NA,NA
