Source	Station	IBMR_strata	IBMR_strata2	Year	Month	Day	1	2	3	4	5	6	7	8	9	10	11	12
20mm	323	NA	NA	1995	4	28	339.3136227	16582.9966	0	362.5176693	0	0	328.0153174	0	2040.984197	2672.717401	19008.8521	0
20mm	323	NA	NA	1995	5	12	17.30529342	7611.726805	0	303.6016389	0	156.1379857	52.04599525	867.4332541	2477.389373	6375.634418	8116.919932	0
20mm	323	NA	NA	1995	5	26	24.13378747	3961.812229	0	60.48568289	0	56.45330403	88.7123349	0	1050.031455	665.3425118	3463.974735	0
20mm	323	NA	NA	1995	6	9	18.94377427	3026.730851	0	2149.406208	0	0	54.59985065	0	124.4164423	1637.99552	582.6516236	0
20mm	323	NA	NA	1995	6	24	10.39439573	2403.215554	0	1860.135731	0	0	19.53833784	0	134.439395	179.7527081	71.93234459	0
20mm	323	NA	NA	1995	7	7	3.512540087	2495.752167	0	869.2084162	70.4092622	0	44.89712894	0	5.308425245	66.02518961	0	0
20mm	323	NA	NA	1995	7	21	1.984493135	805.7340548	0	1355.756968	39.77938871	0	10.44470071	0	30.06581705	144.2363431	0	0
20mm	323	NA	NA	1995	8	4	0	1394.309046	0	72.99330162	65.21452484	0	83.1693115	0	109.9302606	24.46156221	0	0
20mm	328	NA	NA	1995	7	7	3.886763006	2345.208505	0	1759.330124	116.8659042	0	24.8402147	0	0	14.611891	0	0
20mm	328	NA	NA	1995	7	21	1.25174678	1849.38528	0	7028.304055	125.4570269	0	6.588140947	0	31.62307654	75.29303939	0	0
20mm	328	NA	NA	1995	8	4	15.94317116	2841.001176	0	3501.24026	0	0	100.6937126	0	67.46478743	0	0	0
20mm	329	NA	NA	1995	8	4	0	2838.4845	0	3948.218401	0	37.84646001	94.61615002	0	372.7497846	0	0	0
20mm	330	NA	NA	1995	5	26	21.88275675	7835.836768	0	411.330014	0	49.35960169	90.4926031	0	1934.896386	1275.123044	3785.88145	0
20mm	334	NA	NA	1995	8	4	0	4703.601943	0	1901.246631	61.46962147	0	89.92180186	0	97.32305786	0	0	0
20mm	335	NA	NA	1995	8	4	0	2072.79459	0	512.0622388	0	0	51.52709716	0	446.2480828	0	0	0
20mm	336	NA	NA	1995	7	7	1.876258129	1142.683522	0	3486.68716	0	0	3.526800994	0	27.95342468	260.9832735	0	0
20mm	336	NA	NA	1995	7	21	1.532512576	1538.273901	0	1702.707892	61.43877485	11.52265095	8.64198821	0	106.0544793	213.1690425	0	0
20mm	336	NA	NA	1995	8	4	9.945579273	3589.381993	0	6488.007363	199.3602582	0	89.73454983	0	148.8845739	0	0	0
20mm	340	NA	NA	1995	4	28	23.33796671	48167.45762	0	1125.311132	0	0	368.4942113	0	1768.772214	1930.207773	33377.85471	0
20mm	340	NA	NA	1995	5	12	225.0914302	19616.6489	0	1973.357952	820.3605644	276.9409257	1015.450061	0	3877.17296	1384.704629	8496.547601	0
20mm	340	NA	NA	1995	5	26	57.73358791	11720.35243	0	2313.858023	0	0	555.6315227	0	583.4130988	694.5394034	10387.87859	0
20mm	340	NA	NA	1995	6	9	29.81835174	17487.4544	0	6370.141563	0	0	440.9229956	0	0	373.6635556	1146.399789	0
20mm	340	NA	NA	1995	6	24	5.210344927	9225.836318	0	9049.546452	0	0	188.0425237	0	0	78.35105154	0	0
20mm	340	NA	NA	1995	7	7	2.964471041	1210.306598	0	1345.629128	11.88463127	0	8.469917259	0	14.97837999	22.28925594	0	0
20mm	340	NA	NA	1995	7	21	1.678263128	2536.322471	0	4652.258957	134.5638947	12.61851976	6.309259879	0	87.33277525	50.47407903	0	0
20mm	340	NA	NA	1995	8	4	11.24643383	1310.674619	0	822.4083924	0	0	62.94996378	0	37.76997827	46.97758491	0	0
20mm	405	NA	NA	1995	4	27	95.71411029	13313.61685	0	204.6818662	0	239.8849883	11.99424941	0	2821.047461	1439.309929	24102.92396	0
20mm	405	NA	NA	1995	5	11	0	1334.742484	0	414.1889126	0	633.3483941	18.31999487	837.4854799	3693.310966	549.5998462	1605.878408	0
20mm	405	NA	NA	1995	5	25	66.57876459	4955.862928	0	914.8489592	0	100.118443	53.39650293	0	1345.591874	200.236886	6962.370016	0
20mm	405	NA	NA	1995	6	8	5.72938659	4781.668507	0	951.4012596	0	12.9234284	79.69447512	0	180.9279976	215.3904733	462.5725805	0
20mm	405	NA	NA	1995	6	23	12.62165882	3302.509225	0	2694.3066	0	0	13.28595665	0	350.7492556	332.1489164	29.11522501	0
20mm	405	NA	NA	1995	7	6	3.616177578	3038.404845	0	7102.934065	0	13.59465255	8.15679153	0	68.51704885	475.8128393	0	0
20mm	405	NA	NA	1995	7	20	0	3516.392506	0	7084.721964	44.01268742	16.508885	1.6508885	0	83.20478042	0	0	0
20mm	405	NA	NA	1995	8	3	6.974563716	747.2746839	0	6109.245852	436.8934884	6.555041087	15.73209861	0	106.5456378	91.77057521	0	0
20mm	411	11	12	1995	4	28	0	3162.545021	0	2699.432107	0	247.187427	21.81065532	290.8087376	1994.94794	436.2131064	2081.802816	0
20mm	411	11	12	1995	5	12	5.134844447	2663.941856	0	143.1000071	0	486.4589477	52.12060153	617.7256478	2853.892493	135.1274855	414.5711254	0
20mm	411	11	12	1995	5	26	20.45509552	6151.908426	0	2582.212296	0	502.4058548	235.8231563	0	1119.647333	307.5954213	3617.527218	0
20mm	411	11	12	1995	6	24	10.31307516	5437.627033	0	4541.339383	0	23.26257554	19.38547962	0	227.9732403	368.3241127	0	0
20mm	411	11	12	1995	7	7	0	29850.66498	0	24123.81034	0	0	237.3447368	0	0	0	0	0
20mm	411	11	12	1995	7	21	0	11660.31324	0	17901.40756	471.0059863	132.5035595	17.66714127	176.6714127	0	176.6714127	0	0
